# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094833
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696287373472,0.3022461,-0.9155884,0.17816162,-1.4375,-0.6875,0.03125
1696287373516,0.3149414,-0.9248657,0.18035889,1.15625,-0.234375,-0.15625
1696287373547,0.31567383,-0.92852783,0.17791748,0.6875,-0.28125,-0.140625
1696287373593,0.31640625,-0.92144775,0.1708374,0.84375,0.28125,-0.515625
1696287373621,0.3137207,-0.92852783,0.17254639,0.859375,0.78125,-0.75
1696287373667,0.3154297,-0.9338989,0.16107178,1.46875,1.078125,-0.984375
1696287373713,0.31860352,-0.9351196,0.16644287,1.8125,0.65625,-0.5
1696287373741,0.31152344,-0.925354,0.16082764,3.90625,1.453125,-0.828125
1696287373787,0.31201172,-0.93634033,0.15325928,3.734375,0.90625,-0.4375
1696287373817,0.31567383,-0.9402466,0.13104248,-1.046875,0.15625,-1.265625
1696287373862,0.30517578,-0.93341064,0.1552124,2.828125,1.953125,0.328125
1696287373908,0.31274414,-0.94122314,0.13885498,2.734375,2.796875,-0.5625
1696287373937,0.31176758,-0.93170166,0.14007568,2.296875,1.484375,-0.015625
1696287373982,0.30981445,-0.9326782,0.13153076,3.78125,2.390625,-0.640625
1696287374027,0.31420898,-0.93292236,0.124694824,0.53125,0.890625,-0.15625
1696287374056,0.3059082,-0.93585205,0.12615967,1.21875,0.65625,-0.140625
1696287374102,0.30615234,-0.93829346,0.12884521,0.96875,0.796875,-0.03125
1696287374132,0.31201172,-0.92510986,0.1161499,1.046875,0.40625,-0.4375
1696287374177,0.3083496,-0.94000244,0.11956787,1.921875,-0.015625,-0.234375
1696287374222,0.3083496,-0.9331665,0.109313965,0.9375,-0.203125,-0.09375
1696287374252,0.31420898,-0.9365845,0.10662842,0.90625,0.359375,-0.5
1696287374300,0.3083496,-0.9378052,0.09954834,0.625,0.5625,-0.078125
1696287374327,0.30200195,-0.9265747,0.11151123,1.015625,0.859375,-0.296875
1696287374373,0.30664062,-0.93756104,0.10467529,2.25,0.21875,-0.25
1696287374418,0.31176758,-0.95147705,0.093933105,-1.125,0.734375,-0.890625
1696287374447,0.29370117,-0.9248657,0.1071167,4.8125,2.53125,0.765625
1696287374493,0.30981445,-0.94415283,0.090026855,5.71875,4.625,-0.953125
1696287374522,0.30297852,-0.90997314,0.0524292,6.4375,4.828125,-0.125
1696287374566,0.3083496,-0.93829346,0.058532715,4.53125,3.109375,-0.703125
1696287374612,0.30273438,-0.9492798,0.05682373,2.015625,1.015625,-0.375
1696287374643,0.30737305,-0.9365845,0.047790527,2.4375,0.140625,-0.0625
1696287374688,0.31103516,-0.9404907,0.05218506,0.71875,-1.1875,0.578125
1696287374733,0.3076172,-0.93927,0.055847168,1.453125,-0.703125,0.3125
