# Sensor type: Respeck
# Activity type: Ascending stairs
# Activity subtype: Normal
# Subject id: s2094833
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696287059417,-0.13989258,-1.0195923,0.074157715,-6.015625,49.453125,1.859375
1696287059463,0.052001953,-1.1611938,0.33563232,-10.890625,11.25,5.4375
1696287059491,0.21533203,-1.635315,0.1083374,-9.796875,-6.265625,17.546875
1696287059536,0.2512207,-1.7029419,-0.22808838,-18.53125,-27.71875,38.875
1696287059581,0.6994629,-1.37677,0.25213623,10.078125,12.953125,-8.65625
1696287059612,0.055664062,-0.7542114,-0.30889893,30.328125,21.953125,10.421875
1696287059656,0.6894531,-0.6109009,0.09588623,-4.234375,13.96875,9.328125
1696287059702,0.3010254,-1.2075806,0.08392334,-10.53125,10.6875,2.125
1696287059732,0.35913086,-0.8904419,0.007751465,21.875,15.046875,5.78125
1696287059777,0.30004883,-0.6067505,0.022888184,15.4375,4.65625,-0.71875
1696287059806,0.14038086,-0.6848755,0.09490967,6.328125,6.09375,4.96875
1696287059853,0.15209961,-0.6692505,0.042419434,6.515625,12.453125,4.296875
1696287059897,0.23510742,-0.6074829,0.023864746,3.859375,14.171875,1.3125
1696287059927,0.34594727,-0.78131104,0.024597168,-11.859375,-1.640625,9.859375
1696287059972,0.45288086,-1.0962524,0.16986084,-37.859375,3.109375,11.859375
1696287060049,0.15478516,-1.5044556,0.43084717,-60.1875,12.0,-3.640625
1696287060051,0.2746582,-1.5115356,0.0053100586,-7.25,1.921875,-19.515625
1696287060092,1.0148926,-1.2454224,0.03656006,-9.140625,20.671875,10.703125
1696287060122,0.27807617,-1.052063,-0.0647583,-0.734375,15.984375,-5.875
1696287060168,0.026123047,-0.7659302,-0.25274658,-1.0625,30.296875,-9.625
1696287060198,0.3828125,-0.90509033,-0.07086182,-18.046875,45.421875,-9.0625
1696287060242,0.39404297,-1.2422485,0.19622803,-17.234375,18.328125,-7.84375
1696287060287,-0.016113281,-1.0093384,0.008239746,12.53125,28.078125,5.78125
1696287060317,0.16186523,-0.5757446,-0.17120361,21.765625,28.84375,1.421875
1696287060363,0.24584961,-0.47418213,0.018493652,0.015625,38.515625,6.140625
1696287060408,0.025390625,-0.4985962,0.08319092,1.984375,15.078125,13.9375
1696287060438,0.09301758,-0.411438,0.011169434,0.609375,18.03125,6.734375
1696287060484,0.122558594,-0.76104736,0.1083374,-13.359375,12.484375,4.09375
1696287060512,0.09301758,-1.3259888,0.09320068,-23.0,-0.390625,0.84375
1696287060558,0.42626953,-1.7451782,0.109313965,-17.078125,7.140625,7.28125
1696287060605,0.52368164,-1.2669067,-0.06500244,1.90625,-13.8125,8.90625
