# Sensor type: Thingy
# Activity type: Lying down back
# Activity subtype: Normal
# Subject id: s2094833
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696292005788,-0.015625,0.07421875,0.9404297,0.125,0.03125,-0.03125,0.0,0.0,0.0
1696292005847,-0.01171875,0.07421875,0.93066406,0.125,-0.09375,-0.15625,0.0,0.0,0.0
1696292005879,-0.021484375,0.07910156,0.9316406,-0.21875,-0.28125,0.03125,0.0,0.0,0.0
1696292005907,-0.0146484375,0.08691406,0.9355469,-0.46875,-0.5625,-0.09375,0.0,0.0,0.0
1696292005968,-0.013671875,0.0703125,0.94628906,0.0625,-0.40625,0.09375,0.0,0.0,0.0
1696292005999,-0.0078125,0.08496094,0.9355469,0.1875,-0.03125,-0.09375,0.0,0.0,0.0
1696292006030,-0.0126953125,0.08691406,0.9394531,-0.15625,-0.34375,-0.09375,0.0,0.0,0.0
1696292006087,-0.013671875,0.080078125,0.921875,-0.21875,-0.28125,-0.15625,0.0,0.0,0.0
1696292006120,-0.0146484375,0.08105469,0.95996094,-0.03125,-0.03125,0.09375,0.0,0.0,0.0
1696292006147,-0.0126953125,0.08691406,0.93359375,0.03125,-0.09375,-0.03125,0.0,0.0,0.0
1696292006208,-0.017578125,0.08984375,0.94140625,-0.15625,-0.4375,-0.03125,0.0,0.0,0.0
1696292006238,-0.01953125,0.07910156,0.9433594,-0.15625,-0.09375,-0.09375,0.0,0.0,0.0
1696292006268,-0.013671875,0.08984375,0.9394531,0.125,-0.03125,-0.28125,-21.3125,-35.5,-169.875
1696292006328,-0.013671875,0.080078125,0.93652344,-0.53125,-0.40625,-0.03125,0.0,0.0,0.0
1696292006358,-0.0126953125,0.076171875,0.9375,-0.21875,-0.5625,0.15625,0.0,0.0,0.0
1696292006389,-0.020507812,0.083984375,0.93652344,0.0625,0.15625,0.03125,0.0,0.0,0.0
1696292006450,-0.022460938,0.08203125,0.94140625,-0.21875,-0.28125,-0.03125,0.0,0.0,0.0
