# Sensor type: Thingy
# Activity type: Standing
# Activity subtype: Normal
# Subject id: s2094833
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696287607572,-1.0068359,-0.009765625,-0.08105469,-0.25,0.875,0.0,0.0,0.0,0.0
1696287607632,-1.0097656,-0.020507812,-0.08886719,-4.15625,-0.21875,-0.59375,0.0,0.0,0.0
1696287607662,-1.0029297,-0.0107421875,-0.0703125,-1.46875,1.59375,-0.3125,0.0,0.0,0.0
1696287607691,-0.9951172,-0.016601562,-0.078125,-0.34375,0.125,-0.34375,0.0,0.0,0.0
1696287607755,-1.0117188,-0.032226562,-0.047851562,-0.78125,0.6875,-0.46875,0.0,0.0,0.0
1696287607781,-0.99121094,-0.0068359375,-0.07910156,-4.625,0.75,-1.09375,0.0,0.0,0.0
1696287607840,-0.99902344,-0.0068359375,-0.11230469,-0.125,-0.21875,-0.34375,-77.6875,-19.3125,-203.875
1696287607873,-0.9941406,-0.013671875,-0.0703125,0.8125,1.28125,0.3125,0.0,0.0,0.0
1696287607902,-1.0048828,-0.022460938,-0.099609375,-3.15625,0.125,-0.3125,0.0,0.0,0.0
1696287607932,-1.0117188,-0.01953125,-0.087890625,0.0,0.3125,0.0,0.0,0.0,0.0
1696287607992,-0.9902344,-0.013671875,-0.07324219,0.8125,0.3125,0.125,0.0,0.0,0.0
1696287608023,-1.0039062,-0.01171875,-0.099609375,-0.46875,0.3125,0.3125,0.0,0.0,0.0
1696287608051,-1.0019531,-0.0068359375,-0.064453125,1.53125,-0.0625,0.1875,0.0,0.0,0.0
1696287608112,-1.0009766,-0.0146484375,-0.078125,1.28125,0.125,0.5,0.0,0.0,0.0
1696287608141,-1.0068359,-0.013671875,-0.072265625,-0.78125,-0.125,0.1875,0.0,0.0,0.0
1696287608175,-0.99609375,-0.01171875,-0.083984375,0.5625,0.0625,0.125,0.0,0.0,0.0
1696287608263,-0.99902344,-0.015625,-0.08105469,0.25,0.125,0.3125,0.0,0.0,0.0
1696287608268,-1.0087891,-0.018554688,-0.08203125,-0.25,0.625,0.0,0.0,0.0,0.0
1696287608292,-1.0039062,-0.017578125,-0.078125,0.375,0.0,0.1875,0.0,0.0,0.0
1696287608411,-1.0058594,-0.0068359375,-0.08886719,-1.34375,0.25,-0.125,-79.9375,-18.875,-203.875
1696287608415,-1.0068359,-0.013671875,-0.08496094,0.375,0.0625,0.0,0.0,0.0,0.0
1696287608417,-1.0,-0.013671875,-0.08886719,-0.40625,0.25,-0.1875,0.0,0.0,0.0
1696287608470,-0.9970703,-0.0126953125,-0.07324219,-3.40625,0.625,-0.53125,0.0,0.0,0.0
1696287608502,-1.0039062,-0.013671875,-0.07519531,1.90625,0.5,-0.0625,0.0,0.0,0.0
1696287608530,-1.0039062,-0.01953125,-0.07519531,-4.15625,0.0,-0.46875,0.0,0.0,0.0
1696287608594,-1.0117188,-0.01953125,-0.080078125,1.28125,0.8125,0.0,0.0,0.0,0.0
1696287608622,-0.99902344,-0.005859375,-0.080078125,-0.53125,-0.40625,-0.0625,0.0,0.0,0.0
1696287608653,-1.0107422,-0.024414062,-0.08203125,-1.15625,0.875,-0.25,0.0,0.0,0.0
1696287608746,-1.0087891,-0.0146484375,-0.087890625,-1.28125,-0.40625,-0.25,0.0,0.0,0.0
1696287608750,-1.0058594,-0.0146484375,-0.07128906,0.125,0.25,0.1875,0.0,0.0,0.0
1696287608773,-1.0078125,-0.0087890625,-0.07128906,-1.15625,0.4375,-0.0625,0.0,0.0,0.0
1696287608836,-1.0068359,-0.028320312,-0.07714844,-0.46875,1.21875,-0.34375,-80.125,-19.75,-202.6875
1696287608862,-1.0117188,0.0,-0.091796875,-2.375,-0.21875,-0.46875,0.0,0.0,0.0
1696287608892,-1.0019531,-0.038085938,-0.087890625,2.21875,-0.1875,0.75,0.0,0.0,0.0
1696287608955,-0.99609375,-0.028320312,-0.083984375,0.25,-0.59375,0.1875,0.0,0.0,0.0
1696287608981,-1.0048828,-0.009765625,-0.07910156,0.6875,0.75,0.0625,0.0,0.0,0.0
1696287609013,-1.0039062,-0.01171875,-0.083984375,0.625,-0.125,0.25,0.0,0.0,0.0
1696287609077,-1.0126953,-0.020507812,-0.07519531,-0.25,0.25,0.125,0.0,0.0,0.0
1696287609102,-1.0029297,-0.0146484375,-0.08105469,-0.0625,0.625,0.4375,0.0,0.0,0.0
1696287609131,-1.0039062,-0.022460938,-0.08203125,1.09375,0.4375,0.3125,0.0,0.0,0.0
1696287609195,-1.0097656,-0.018554688,-0.07519531,-0.25,0.5,0.375,0.0,0.0,0.0
1696287609221,-0.9970703,-0.017578125,-0.08691406,0.375,0.0625,-0.0625,0.0,0.0,0.0
1696287609251,-0.9980469,-0.0078125,-0.09277344,1.15625,0.5,0.4375,0.0,0.0,0.0
1696287609316,-0.99902344,-0.001953125,-0.08300781,-0.40625,0.375,0.0625,0.0,0.0,0.0
1696287609344,-1.0048828,-0.0146484375,-0.08691406,0.6875,0.5,0.0625,-80.25,-19.9375,-201.0625
1696287609372,-1.0039062,-0.01171875,-0.07910156,-1.8125,0.4375,-0.46875,0.0,0.0,0.0
1696287609434,-1.0048828,-0.0146484375,-0.08691406,-0.0625,0.625,-0.25,0.0,0.0,0.0
1696287609467,-0.9970703,-0.0107421875,-0.07519531,-1.40625,0.1875,-0.34375,0.0,0.0,0.0
1696287609491,-1.0107422,-0.020507812,-0.0859375,-0.46875,0.75,-0.0625,0.0,0.0,0.0
1696287609559,-1.0166016,-0.024414062,-0.080078125,0.0,0.25,-0.125,0.0,0.0,0.0
1696287609581,-1.0068359,-0.0146484375,-0.078125,-0.53125,0.25,-0.3125,0.0,0.0,0.0
1696287609612,-1.0058594,-0.018554688,-0.08105469,-0.125,0.3125,-0.125,0.0,0.0,0.0
1696287609676,-1.0,-0.0087890625,-0.06347656,0.5,0.0,0.0,0.0,0.0,0.0
1696287609702,-1.0048828,-0.0078125,-0.076171875,-0.34375,0.5,-0.125,0.0,0.0,0.0
1696287609732,-1.0039062,-0.0146484375,-0.078125,0.4375,0.125,0.1875,0.0,0.0,0.0
1696287609795,-0.99609375,-0.020507812,-0.083984375,0.4375,0.3125,0.125,0.0,0.0,0.0
1696287609821,-1.0175781,-0.018554688,-0.08496094,0.1875,0.25,0.125,-79.1875,-20.6875,-203.125
1696287609851,-0.99902344,-0.018554688,-0.0703125,0.375,0.125,0.1875,0.0,0.0,0.0
1696287609913,-1.0087891,-0.0068359375,-0.07714844,-0.53125,0.3125,0.0,0.0,0.0,0.0
1696287609941,-1.0068359,-0.0087890625,-0.080078125,0.625,0.3125,0.0,0.0,0.0,0.0
1696287609975,-0.9951172,-0.01171875,-0.07714844,-1.75,0.375,-0.34375,0.0,0.0,0.0
1696287610031,-1.0019531,-0.005859375,-0.080078125,-0.34375,0.5,-0.1875,0.0,0.0,0.0
