# Sensor type: Respeck
# Activity type: Lying down back
# Activity subtype: Normal
# Subject id: s2094833
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696291958261,-0.2397461,-0.17877197,1.0045776,-0.6875,-1.484375,0.015625
1696291958289,-0.24633789,-0.18658447,1.0184937,0.078125,-1.0625,-0.015625
1696291958320,-0.25708008,-0.17022705,1.0079956,-0.59375,-0.6875,0.359375
1696291958365,-0.24267578,-0.18365479,1.0192261,-0.984375,-1.03125,0.34375
1696291958424,-0.23071289,-0.17901611,1.0211792,-0.09375,-1.40625,-0.296875
1696291958439,-0.24633789,-0.17608643,1.0219116,-0.546875,-1.703125,-0.1875
1696291958484,-0.2536621,-0.17877197,1.0133667,-0.75,-2.015625,-0.15625
1696291958514,-0.24414062,-0.18463135,1.00531,-1.328125,-1.953125,0.09375
1696291958560,-0.25317383,-0.17999268,1.0148315,-0.78125,-2.0625,0.140625
1696291958604,-0.25756836,-0.17852783,1.0170288,-0.90625,-2.171875,0.140625
1696291958634,-0.25195312,-0.175354,1.0236206,-0.1875,-2.234375,0.046875
1696291958680,-0.25732422,-0.16558838,1.0123901,-2.0625,-3.0625,-0.25
1696291958710,-0.25708008,-0.17852783,1.0101929,-0.78125,-2.5625,0.015625
1696291958754,-0.2692871,-0.17437744,1.0140991,-2.953125,-3.46875,-0.140625
1696291958800,-0.25708008,-0.17193604,1.0089722,-1.609375,-2.890625,-0.09375
1696291958829,-0.27246094,-0.16070557,1.0123901,-0.71875,-1.90625,0.484375
1696291958875,-0.2680664,-0.16802979,1.0092163,-1.765625,-2.625,0.140625
1696291958919,-0.27270508,-0.17730713,1.0079956,-1.96875,-2.828125,0.109375
1696291958949,-0.27368164,-0.16998291,1.0006714,-2.5,-3.234375,-0.03125
1696291958994,-0.27954102,-0.17828369,1.0077515,-1.5,-2.6875,0.0625
1696291959024,-0.2800293,-0.16192627,1.017273,-3.0,-3.59375,-0.25
1696291959070,-0.29223633,-0.15484619,1.0097046,-5.078125,-3.9375,-0.046875
