# Sensor type: Respeck
# Activity type: Lying down on left
# Activity subtype: Normal
# Subject id: s2094833
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696291582209,-0.99365234,-0.24493408,0.20013428,1.296875,-4.09375,0.515625
1696291582256,-0.99487305,-0.24420166,0.20037842,0.015625,-3.796875,0.1875
1696291582283,-0.9855957,-0.24224854,0.19573975,0.609375,-5.9375,-0.171875
1696291582329,-0.998291,-0.23687744,0.18035889,0.03125,-7.328125,-0.4375
1696291582374,-0.9863281,-0.23809814,0.17596436,-0.4375,-6.859375,-0.25
1696291582404,-0.99121094,-0.25006104,0.1552124,-0.34375,-6.453125,-0.515625
1696291582448,-0.982666,-0.21759033,0.1605835,-0.359375,-2.78125,-0.921875
1696291582479,-1.0043945,-0.2420044,0.1605835,-4.890625,-3.640625,-0.609375
1696291582526,-1.0014648,-0.23834229,0.16107178,0.15625,-4.0625,0.109375
1696291582569,-0.97265625,-0.23883057,0.15130615,-0.90625,-2.734375,-1.078125
1696291582599,-1.0004883,-0.22711182,0.16009521,1.5625,-4.34375,-0.171875
1696291582644,-1.0002441,-0.23199463,0.13787842,-2.921875,-3.453125,-0.171875
1696291582674,-0.98095703,-0.21832275,0.12030029,0.0625,-2.734375,0.203125
1696291582719,-1.0007324,-0.23834229,0.13031006,0.921875,-4.109375,1.125
1696291582796,-0.9926758,-0.24102783,0.13690186,-1.203125,-3.078125,-0.21875
1696291582798,-0.9946289,-0.24591064,0.1383667,0.5,-4.40625,-0.3125
1696291582839,-1.001709,-0.237854,0.1359253,-0.796875,-3.40625,-0.53125
1696291582870,-1.0065918,-0.23297119,0.12542725,-1.25,-4.3125,-0.953125
1696291582914,-1.0002441,-0.23590088,0.10345459,-2.34375,-4.46875,-0.921875
1696291582958,-1.0009766,-0.22198486,0.12005615,-0.46875,-4.015625,-0.015625
1696291582989,-1.0075684,-0.23077393,0.109069824,-0.84375,-5.359375,0.671875
1696291583034,-0.99609375,-0.21807861,0.12664795,0.5,-6.59375,-0.1875
1696291583064,-1.0100098,-0.23883057,0.08514404,-10.28125,-7.640625,-2.265625
1696291583110,-0.97998047,-0.22833252,0.08514404,0.09375,-5.5625,-0.015625
1696291583153,-1.0083008,-0.23394775,0.10638428,-0.453125,-5.921875,-0.421875
1696291583185,-1.0031738,-0.22491455,0.07757568,-2.875,-5.46875,-0.75
1696291583229,-0.99609375,-0.21295166,0.061706543,-1.734375,-4.71875,-1.375
1696291583259,-1.0112305,-0.22369385,0.08050537,-0.734375,-4.140625,-0.15625
1696291583305,-1.0004883,-0.22369385,0.066833496,-0.515625,-3.859375,0.171875
1696291583349,-1.005127,-0.22149658,0.07122803,0.828125,-3.9375,0.265625
1696291583378,-1.0026855,-0.23638916,0.039733887,-1.546875,-3.609375,0.0
1696291583427,-1.0041504,-0.23175049,0.06341553,-0.171875,-4.140625,-0.015625
1696291583470,-1.0012207,-0.2234497,0.047302246,-0.5,-3.46875,-0.4375
1696291583500,-1.0048828,-0.22442627,0.050231934,0.078125,-3.203125,-0.0625
1696291583546,-1.0090332,-0.22418213,0.03753662,-0.40625,-2.703125,-0.03125
1696291583591,-1.0039062,-0.22125244,0.042907715,-0.796875,-1.6875,-0.21875
1696291583618,-1.0029297,-0.22271729,0.042907715,-0.59375,-1.859375,-0.296875
1696291583664,-1.0029297,-0.21466064,0.048034668,-1.28125,-1.140625,-0.453125
1696291583694,-1.0100098,-0.22979736,0.03753662,-1.9375,-2.15625,-0.078125
1696291583738,-0.99731445,-0.2288208,0.031677246,0.09375,-1.5625,-0.515625
1696291583783,-1.0161133,-0.21368408,0.054138184,-1.046875,-1.453125,-0.078125
1696291583831,-0.99316406,-0.22149658,0.042419434,-0.875,-2.6875,-0.578125
1696291583859,-1.0056152,-0.21514893,0.034606934,-1.640625,-1.84375,-0.3125
1696291583888,-1.0004883,-0.2144165,0.03387451,-1.65625,-2.140625,-0.359375
1696291583935,-1.0026855,-0.21905518,0.027038574,-1.53125,-1.75,-0.28125
1696291583963,-1.0007324,-0.22174072,0.035339355,-0.921875,-1.140625,-0.21875
1696291584011,-1.0012207,-0.2276001,0.016052246,-2.359375,-0.484375,-0.171875
1696291584054,-1.0043945,-0.21881104,0.047790527,-0.375,0.671875,-0.359375
1696291584084,-1.0041504,-0.2185669,0.027770996,-1.09375,0.890625,-0.828125
1696291584129,-1.0107422,-0.21221924,0.035095215,-1.6875,4.1875,-0.8125
1696291584174,-1.0048828,-0.2131958,0.04559326,-2.0625,6.640625,-0.578125
1696291584204,-1.0078125,-0.21343994,0.06317139,-1.1875,7.390625,-0.03125
1696291584250,-1.0087891,-0.21905518,0.078552246,-0.34375,7.5,0.0625
1696291584278,-1.0158691,-0.21636963,0.077819824,-2.375,7.59375,-0.1875
1696291584339,-1.0014648,-0.20098877,0.10296631,3.234375,8.546875,0.71875
1696291584370,-1.0083008,-0.20635986,0.09857178,-1.859375,7.890625,-0.015625
1696291584399,-1.0166016,-0.22442627,0.11395264,-2.015625,7.421875,0.640625
1696291584445,-1.0107422,-0.21710205,0.11834717,-2.546875,6.703125,0.453125
1696291584475,-0.97998047,-0.21929932,0.13787842,3.65625,6.953125,2.421875
1696291584521,-1.0065918,-0.21734619,0.1618042,3.828125,6.671875,2.5625
1696291584565,-1.0036621,-0.22003174,0.1828003,1.46875,4.625,1.1875
1696291584594,-0.99121094,-0.22686768,0.15814209,-1.59375,3.578125,0.78125
1696291584640,-0.97558594,-0.2210083,0.13446045,-3.09375,9.625,0.15625
1696291584685,-1.0002441,-0.2156372,0.18499756,11.359375,8.34375,4.578125
1696291584714,-0.99438477,-0.2432251,0.2218628,5.953125,10.578125,2.078125
1696291584759,-0.99902344,-0.24151611,0.21673584,2.40625,3.21875,0.765625
1696291584790,-0.98291016,-0.23175049,0.21185303,-1.375,2.28125,-0.09375
1696291584836,-0.9951172,-0.23834229,0.21551514,-0.375,3.015625,0.640625
1696291584879,-0.98168945,-0.23370361,0.215271,-1.4375,2.28125,0.4375
1696291584909,-0.97924805,-0.23101807,0.22406006,0.71875,3.515625,1.234375
1696291584956,-0.9863281,-0.24591064,0.23309326,-1.28125,3.171875,0.265625
1696291585030,-0.9802246,-0.23272705,0.2423706,0.34375,2.171875,0.453125
1696291585032,-0.9914551,-0.23980713,0.23382568,-2.453125,2.1875,-0.125
1696291585074,-0.98657227,-0.24078369,0.24481201,1.78125,2.859375,0.953125
1696291585105,-0.984375,-0.2444458,0.24627686,0.234375,2.78125,0.421875
1696291585150,-0.9790039,-0.24591064,0.2543335,-1.125,1.109375,-0.390625
1696291585180,-0.9812012,-0.23248291,0.25897217,1.3125,1.296875,0.15625
1696291585225,-0.9824219,-0.24761963,0.24066162,-2.421875,-0.765625,0.109375
1696291585269,-0.9824219,-0.25006104,0.26605225,-1.015625,0.609375,0.46875
1696291585298,-0.97143555,-0.24053955,0.26409912,-0.4375,-0.578125,0.1875
1696291585345,-0.9885254,-0.25274658,0.24725342,-5.25,-4.578125,0.21875
1696291585390,-0.9719238,-0.23468018,0.2477417,-0.1875,-6.40625,1.578125
1696291585419,-0.9765625,-0.2456665,0.24798584,-0.609375,-1.828125,0.34375
